AAP,Advance Auto Parts Inc,181.81,0.41,+0.23%,183.9,179.54,573100,2022-10-26
AMZN,Amazon.com Inc,115.66,-4.94,-4.10%,119.35,114.76,69002398,2022-10-26
APTV,Aptiv Plc,89.4,-0.9,-1.00%,91.23,89.18,1860800,2022-10-26
AZO,Autozone,2423.68,-16.21,-0.66%,2450,2401.21,125000,2022-10-26
BBWI,Bath & Body Works Inc,33.49,-1.21,-3.49%,35.08,33.48,2892800,2022-10-26
BBY,Best Buy Company,65.99,0.3,+0.46%,67.47,65.17,2340600,2022-10-26
BKNG,Booking Holdings Inc,1851.52,-23.09,-1.23%,1918.05,1847.52,375600,2022-10-26
BWA,Borgwarner Inc,36.54,0.18,+0.50%,37.26,36.33,1836200,2022-10-26
CCL,Carnival Corp,8.67,0.05,+0.58%,9.13,8.57,58849801,2022-10-26
CMG,Chipotle Mexican Grill,1476.03,-107.99,-6.82%,1558.82,1474.73,1022400,2022-10-26
CZR,Caesars Entertainment Inc,42.53,0.04,+0.09%,44.89,41.99,7941000,2022-10-26
DG,Dollar General Corp,250.58,0.12,+0.05%,253.88,248.7,1693500,2022-10-26
DHI,D.R. Horton,75.31,-0.1,-0.13%,76.9,74.94,2723200,2022-10-26
DLTR,Dollar Tree Inc,153.69,-0.21,-0.14%,156.53,153.39,2074900,2022-10-26
DPZ,Domino's Pizza Inc,322.02,-6.86,-2.09%,331.15,321.57,826800,2022-10-26
DRI,Darden Restaurants,138.52,2.55,+1.88%,141.37,136.14,1791700,2022-10-26
EBAY,Ebay Inc,39.57,0.6,+1.54%,40.56,38.92,5856200,2022-10-26
ETSY,Etsy Inc,101.4,-1.84,-1.78%,106.2,100.02,2710700,2022-10-26
EXPE,Expedia Group Inc,96.77,-1.94,-1.97%,100.43,96.1,1719200,2022-10-26
F,Ford Motor Company,12.82,-0.01,-0.08%,13.06,12.52,86986008,2022-10-26
GM,General Motors Company,37.86,0.85,+2.30%,38.27,37.18,19645000,2022-10-26
GPC,Genuine Parts Company,171.28,-0.37,-0.22%,172.86,169.31,995100,2022-10-26
GRMN,Garmin Ltd,84.92,0.03,+0.04%,87.14,84.06,1712300,2022-10-26
HAS,Hasbro Inc,66.07,-0.9,-1.34%,67.69,65.53,1244100,2022-10-26
HD,Home Depot,290.15,-0.11,-0.04%,291.87,286.17,2615300,2022-10-26
HLT,Hilton Inc,129.99,-0.65,-0.50%,134.89,127.71,3590600,2022-10-26
KMX,Carmax Inc,61.55,-0.3,-0.49%,62.92,61.01,1515600,2022-10-26
LEN,Lennar Corp,78.79,0.19,+0.24%,80.06,78.02,2844600,2022-10-26
LKQ,LKQ Corp,53.43,-0.47,-0.87%,54.55,53.06,1874200,2022-10-26
LOW,Lowe's Companies,193.55,-0.3,-0.15%,195.61,191.28,2567300,2022-10-26
LVS,Las Vegas Sands,35.47,0.7,+2.01%,35.76,34.3,8434500,2022-10-26
MAR,Marriot Int Cl A,155.04,-0.39,-0.25%,158.82,154.15,2464600,2022-10-26
MCD,McDonald's Corp,256.61,0.88,+0.34%,260.69,256.12,3584200,2022-10-26
MGM,MGM Resorts International,34.33,0.14,+0.41%,35.13,34.15,3168700,2022-10-26
MHK,Mohawk Industries,98.6,-1.64,-1.64%,100.92,98.16,675200,2022-10-26
NCLH,Norwegian Cruise Ord,15.9,0.07,+0.44%,16.51,15.65,19988600,2022-10-26
NKE,Nike Inc,92.39,0.67,+0.73%,94.35,90.7,8648500,2022-10-26
NVR,NVR Inc,4185.18,-92.89,-2.17%,4344.55,4169.68,17100,2022-10-26
NWL,Newell Rubbermaid Inc,15.74,0.02,+0.13%,15.94,15.58,3103700,2022-10-26
ORLY,O'Reilly Automotive,777.46,1.73,+0.22%,780.59,768.31,734800,2022-10-26
PHM,Pultegroup,38.88,-0.67,-1.69%,39.91,38.79,3130400,2022-10-26
POOL,Pool Corp,305.88,7.34,+2.46%,314.55,296.79,927000,2022-10-26
RCL,Royal Caribbean Cruises Ltd,50.7,-0.2,-0.39%,52.95,50.39,5958900,2022-10-26
RL,Ralph Lauren Corp,93.52,-0.29,-0.31%,96.67,92.85,752500,2022-10-26
ROST,Ross Stores Inc,93.39,0.32,+0.34%,95.56,93.01,2939200,2022-10-26
SBUX,Starbucks Corp,85.89,0.68,+0.80%,88.23,85.48,9990800,2022-10-26
TGT,Target Corp,166.77,0.97,+0.59%,170.75,165.32,3456000,2022-10-26
TJX,TJX Companies,70.91,0.45,+0.64%,71.87,70.41,4420300,2022-10-26
TPR,Tapestry Inc,31.66,-0.3,-0.94%,32.53,31.34,2579400,2022-10-26
TSCO,Tractor Supply Company,215.96,1.67,+0.78%,220.4,212.92,1116600,2022-10-26
TSLA,Tesla Inc,224.64,2.23,+1.00%,230.6,218.2,85327000,2022-10-26
ULTA,Ulta Beauty Inc,399.27,3.87,+0.98%,408.9,395.11,773600,2022-10-26
VFC,V.F. Corp,28.21,-0.42,-1.47%,29.27,28,11408500,2022-10-26
WHR,Whirlpool Corp,134.74,-2.26,-1.65%,137.34,131.49,1062500,2022-10-26
WYNN,Wynn Resorts Ltd,57.13,-0.31,-0.54%,58.96,57.02,4665500,2022-10-26
YUM,Yum! Brands,112.27,1.03,+0.93%,114.04,111.42,1412100,2022-10-26
